WKT	type	osm_id	lat	lon	place	abandoned:place	name	marker-color	marker-size
"POINT (23.8605556 1.0315704)"	points	"613525407"	1.0315704	23.8605556	village		Mangala	yellow	"8"
"POINT (23.9633807 1.0101161)"	points	"613525421"	1.0101161	23.9633807	village		Ilondo	yellow	"8"
"POINT (23.9544544 1.0137204)"	points	"613525422"	1.0137204	23.9544544	village		Ibisa	yellow	"8"
"POINT (29.0495 1.4555556)"	points	"613533627"	1.4555556	29.0495	village		Ekwe	yellow	"8"
"POINT (29.0511608 1.4912723)"	points	"613534306"	1.4912723	29.0511608	village		Tsumbi	yellow	"8"
"POINT (22.973054 2.1877569)"	points	"613598150"	2.1877569	22.973054	village		Lundu	yellow	"8"
"POINT (15.9136048 -3.9291585)"	points	"613643581"	-3.9291585	15.9136048	hamlet		Langa-Langa	gray	"6"
"POINT (15.9271661 -4.179328)"	points	"613648708"	-4.179328	15.9271661	village		Dumi	yellow	"8"
"POINT (16.0088769 -4.2967657)"	points	"613650732"	-4.2967657	16.0088769	village		Mutiene	yellow	"8"
"POINT (20.687038 -1.743868)"	points	"613748698"	-1.743868	20.687038	town		Monkoto	red	"10"
"POINT (20.5695568 -1.5904405)"	points	"613772337"	-1.5904405	20.5695568	village		Bokele	yellow	"8"
"POINT (20.6265468 -0.9056179)"	points	"613776379"	-0.9056179	20.6265468	village		Watshi-Nkengo	yellow	"8"
"POINT (22.9864231 1.9292209)"	points	"613998906"	1.9292209	22.9864231	village		Yamonongeri	yellow	"8"
"POINT (16.2444895 -2.6388032)"	points	"614006405"	-2.6388032	16.2444895	town		Tshumbiri	red	"10"
"POINT (16.2050074 -3.3680426)"	points	"614007236"	-3.3680426	16.2050074	village		Meko	yellow	"8"
"POINT (16.1303347 -3.4831929)"	points	"614007244"	-3.4831929	16.1303347	town		Kunzulu	red	"10"
"POINT (26.3979388 1.8453341)"	points	"614295565"	1.8453341	26.3979388	town		Panga	red	"10"
"POINT (25.3477145 2.1366388)"	points	"614298292"	2.1366388	25.3477145	town		Kole	red	"10"
"POINT (21.4197459 -5.3535845)"	points	"614576675"	-5.3535845	21.4197459	town		Lwebo	red	"10"
"POINT (21.5612 -4.8476882)"	points	"614581713"	-4.8476882	21.5612	town		Mweka	red	"10"
"POINT (21.42027 -5.2308959)"	points	"614588264"	-5.2308959	21.42027	town		Mopangu	red	"10"
"POINT (20.7887691 -6.4230495)"	points	"615209242"	-6.4230495	20.7887691	city		Tshikapa	red	"10"
"POINT (26.056213 3.6505745)"	points	"615661583"	3.6505745	26.056213	town		Dingila	red	"10"
"POINT (22.4449881 4.106114)"	points	"615680928"	4.106114	22.4449881	city		Yakoma	red	"10"
"POINT (18.6994021 -0.1145897)"	points	"615732486"	-0.1145897	18.6994021	village		Bokoma	yellow	"8"
"POINT (18.9661639 -0.3092522)"	points	"615744675"	-0.3092522	18.9661639	town		Ingende	red	"10"
"POINT (22.6113895 2.1225)"	points	"615754788"	2.1225	22.6113895	village		Yambenga	yellow	"8"
"POINT (22.9296116 2.2244122)"	points	"615757234"	2.2244122	22.9296116	town		Yaligimba	red	"10"
"POINT (23.0597691 2.2708779)"	points	"615757622"	2.2708779	23.0597691	town		Bokata	red	"10"
"POINT (22.6269642 2.1767891)"	points	"615763856"	2.1767891	22.6269642	village		Bolama	yellow	"8"
"POINT (22.6736937 2.1919506)"	points	"615764469"	2.1919506	22.6736937	village		Bongolu	yellow	"8"
"POINT (22.7741027 2.2022711)"	points	"615765152"	2.2022711	22.7741027	hamlet		Watsalaka	gray	"6"
"POINT (22.872705 2.2081822)"	points	"615766278"	2.2081822	22.872705	village		Yamaya	yellow	"8"
"POINT (22.9977991 2.2670313)"	points	"615768511"	2.2670313	22.9977991	village		Yamawa	yellow	"8"
"POINT (22.9702359 2.3004245)"	points	"615771620"	2.3004245	22.9702359	village		Yewulu	yellow	"8"
"POINT (22.4945607 2.4457815)"	points	"615777156"	2.4457815	22.4945607	village		Yakoi	yellow	"8"
"POINT (22.4902971 2.4830383)"	points	"615779566"	2.4830383	22.4902971	village		Yamowole	yellow	"8"
"POINT (22.5057239 2.5079385)"	points	"615779577"	2.5079385	22.5057239	village		Yamolendi	yellow	"8"
"POINT (22.5832258 2.2216278)"	points	"615779588"	2.2216278	22.5832258	village		Yankosa	yellow	"8"
"POINT (22.5966154 2.2682839)"	points	"615779602"	2.2682839	22.5966154	village		Yameka	yellow	"8"
"POINT (22.6221929 2.3557599)"	points	"615779799"	2.3557599	22.6221929	village		Botsoli	yellow	"8"
"POINT (22.6594435 2.4135597)"	points	"615780874"	2.4135597	22.6594435	suburb		Bosambi	red	"10"
